"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"HP1BP3",0.412184915700574,0.547086148648649,0.910646683413741,0.486,0.5,1
"EYA3",0.413106341207135,0.462415540540541,-1.19703410637488,0.216,0.281,1
"SDHA",0.413421479548065,0.449746621621622,0.337997888634298,0.784,0.906,1
"UBXN7",0.414406056972245,0.453336148648649,0.499793785854006,0.446,0.562,1
"TBC1D32",0.414610802448628,0.535050675675676,1.42017818442593,0.216,0.156,1
"DIS3L2",0.414821092724144,0.467060810810811,2.15249040810629,0.149,0.219,1
"USP25",0.414834830062803,0.532939189189189,2.19326190425514,0.189,0.125,1
"ARHGEF5",0.415701021408492,0.458403716216216,-0.31208384560273,0.297,0.375,1
"ABCB7",0.415891271494503,0.538429054054054,1.20247152178256,0.27,0.219,1
"ZDHHC4",0.415899287844867,0.538429054054054,-0.45988773468311,0.284,0.188,1
"ATP6V0A2",0.415996619663903,0.540751689189189,1.16591398821987,0.324,0.25,1
"STK40",0.41674460386627,0.456714527027027,-1.55432979349039,0.338,0.438,1
"AP3B1",0.416836712374844,0.530405405405405,-0.578575029852435,0.162,0.094,1
"CARS2",0.417434821190428,0.535472972972973,0.981561241195217,0.23,0.156,1
"NALCN",0.418082374021579,0.539695945945946,0.27674228385679,0.311,0.219,1
"ALG12",0.418358080837862,0.459881756756757,0.399481007801749,0.257,0.375,1
"CCDC85C",0.418411365266765,0.462837837837838,1.47543336104,0.203,0.312,1
"FOPNL",0.418666026758215,0.546241554054054,0.88916602015481,0.486,0.469,1
"VPS41",0.418912261709129,0.547297297297297,0.693134132713106,0.554,0.5,1
"SOCS4",0.419140719733757,0.466638513513513,-1.04230011343669,0.162,0.219,1
"MED1",0.419890041147593,0.462415540540541,-0.999418150812485,0.23,0.281,1
"FAM84B",0.42031674166152,0.534628378378378,0.860935962262448,0.216,0.156,1
"FAAP24",0.420565451364119,0.539907094594595,-0.911772816988265,0.311,0.25,1
"ATXN7",0.421060834715519,0.536951013513513,0.715933573596958,0.257,0.188,1
"FBXL14",0.422631566354205,0.548986486486487,0.756698863887377,0.743,0.75,1
"CWF19L1",0.423168590258571,0.46558277027027,-0.439573148990009,0.176,0.25,1
"NXT2",0.423183317084863,0.459459459459459,0.305874947255155,0.27,0.406,1
"SYVN1",0.423279603073047,0.474873310810811,-2.83394423053674,0.081,0.125,1
"TSPAN14",0.423398901059528,0.470016891891892,-0.369493778139418,0.122,0.188,1
"FAM196A",0.423931807725439,0.532305743243243,0.338609552280677,0.189,0.125,1
"TRUB2",0.424018318727019,0.546452702702703,0.308862208886625,0.527,0.5,1
