"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TSNAX.1",0.000730158713608707,0.616923938752645,0.489639247081715,0.379,0.143,1,"7","TSNAX"
"CCDC171.2",0.000732684634252134,0.600896302751151,1.03462217715392,0.31,0.099,1,"7","CCDC171"
"TUBA1A.4",0.000734457487378229,0.685702726254201,1.17435531904289,0.759,0.888,1,"7","TUBA1A"
"CD151.7",0.000743846539473736,0.334495207270011,-5.19759521274227,0.138,0.424,1,"7","CD151"
"TCOF1.3",0.000744661539321737,0.664540022407569,1.0692038420786,0.655,0.388,1,"7","TCOF1"
"SHISA8.3",0.0007537002203332,0.660898792481016,1.3162612048399,0.621,0.359,1,"7","SHISA8"
"IQCH.1",0.000754836953177424,0.586704842524586,1.02400795979404,0.241,0.07,1,"7","IQCH"
"ZNF346.3",0.000757719271053044,0.639985061620814,1.07059941069557,0.483,0.233,1,"7","ZNF346"
"PYCRL.1",0.000758800720622477,0.622743682310469,0.546214989791314,0.414,0.162,1,"7","PYCRL"
"BTG2.4",0.000760956807406272,0.679540644840035,0.939709481722968,0.828,0.594,1,"7","BTG2"
"FAM65B.2",0.000762531661523451,0.624144155359144,0.46388723565302,0.414,0.168,1,"7","FAM65B"
"ARPC1A.5",0.000766765962031185,0.671853603883979,0.783140198041062,0.724,0.469,1,"7","ARPC1A"
"BOC.4",0.000774361319019633,0.59308477530188,-0.61546860342666,0.276,0.083,1,"7","BOC"
"AKR1B10L4.4",0.000774773980822236,0.650877629777169,1.05791888891434,0.655,0.287,1,"7","AKR1B10L4"
"PPIA.3",0.000774824551114526,0.684769077555085,0.619916794903486,0.897,0.854,1,"7","PPIA"
"RSRC2.1",0.000778857669757707,0.675214739200797,0.622354349434119,0.793,0.518,1,"7","RSRC2"
"KAT6A.2",0.000779744429782247,0.673814266152122,1.37755911949998,0.793,0.496,1,"7","KAT6A"
"ARHGAP28.1",0.000780218016609087,0.566164571144031,0.666925661053253,0.172,0.038,1,"7","ARHGAP28"
"HADHA.2",0.000781128864374073,0.648761359392506,1.16313386671288,0.586,0.278,1,"7","HADHA"
"PTN.5",0.000781467626313952,0.319712436200672,-0.912773841800941,0.379,0.646,1,"7","PTN"
"ATP8B1.5",0.000786523159335354,0.339879248101581,-2.7108349779937,0.069,0.386,1,"7","ATP8B1"
"CNTN6",0.00078791081041029,0.555396489480891,-0.923382360550075,0.138,0.025,1,"7","CNTN6"
"TADA2A.3",0.000790791113410108,0.621343209261795,0.565794784010032,0.414,0.159,1,"7","TADA2A"
"KIF9.4",0.00080047386889685,0.636406074940869,1.16267164507098,0.483,0.218,1,"7","KIF9"
"UBOX5",0.000801106456485816,0.594360761857338,1.3908297657545,0.276,0.087,1,"7","UBOX5"
"NSMCE1.1",0.000804812411886027,0.618635628034358,0.904157721614588,0.379,0.152,1,"7","NSMCE1"
